guessWord,genreHint,directorsHint,studioHint
Broken Blossoms,"Classics, Drama, Romance",D.W. Griffith,Kino on Video
The Brotherhood,"Action & Adventure, Classics, Drama",Martin Ritt,Paramount Pictures
Bug,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Jeannot Szwarc,Paramount Pictures
Burglar,"Comedy, Drama",Hugh Wilson,Warner Home Video
Bus Stop,"Comedy, Drama, Romance",Joshua Logan,20th Century Fox Film Corporation
Butch Cassidy and the Sundance Kid,"Action & Adventure, Classics, Western",George Roy Hill,20th Century Fox
Bye Bye Birdie,"Classics, Comedy, Kids & Family, Musical & Performing Arts",George Sidney,Columbia Pictures
Calamity Jane,"Classics, Comedy, Musical & Performing Arts, Western, Romance",David Butler,WARNER BROTHERS PICTURES
Camelot,"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance","Joshua Logan, Moss Hart",Warner Home Video
Camille,"Classics, Drama, Romance",George Cukor,MGM Home Entertainment
Cape Fear,"Classics, Drama, Mystery & Suspense",J. Lee Thompson,Universal International Pictur
Captain Blood,"Action & Adventure, Classics",Michael Curtiz,Twentieth Century Fox Home Entertainment
Captains Courageous,"Action & Adventure, Classics",Victor Fleming,MGM Home Entertainment
Carnival of Souls,"Classics, Comedy, Horror, Mystery & Suspense",Herk Harvey,Herts-Lion International Corp.
Carrie,Horror,Brian DePalma,United Artists
Casablanca,"Classics, Drama, Romance",Michael Curtiz,Warner Bros. Pictures
Casino Royale,"Action & Adventure, Classics, Comedy","Richard Talmadge, Kenneth Hughes, John Huston, Joseph McGrath, Robert Parrish, Val Guest, Ken Hughes",Columbia Pictures
The Cat and the Canary,"Classics, Horror, Mystery & Suspense",Paul Leni,Universal Pictures
Cat on a Hot Tin Roof,"Classics, Drama",Richard Brooks,MGM Home Entertainment
Cat People,"Drama, Horror, Romance",Jacques Tourneur,RKO Pictures
Cat People,"Drama, Horror, Mystery & Suspense",Paul Schrader,Universal Pictures
Caught,"Classics, Drama, Mystery & Suspense",Max Ophüls,MGM
The Champ,"Drama, Sports & Fitness",Franco Zeffirelli,MGM Home Entertainment
Champion,"Classics, Drama",Mark Robson,United Artists
Charade,"Classics, Comedy, Drama, Mystery & Suspense",Stanley Donen,Madacy Entertainment
Charlotte's Web,"Animation, Kids & Family","Charles A. Nichols, Iwao Takamoto",Paramount Pictures
The Chase,"Classics, Drama",Arthur Penn,Columbia Pictures
Checking Out,Comedy,David Leland,HandMade Films
Children of the Corn,"Cult Movies, Horror, Mystery & Suspense",Fritz Kiersch,New World Pictures
The Chosen,Drama,Jeremy Kagan,Westchester Films
A Christmas Carol,"Classics, Drama, Kids & Family, Science Fiction & Fantasy",Edwin L. Marin,MGM
Christmas in Connecticut,"Classics, Comedy",Peter Godfrey,Warner Bros. Pictures
A Christmas Story,"Comedy, Drama, Kids & Family",Bob Clark,MGM
Cimarron,"Classics, Drama, Western",Wesley Ruggles,MGM Home Entertainment
Cleopatra,"Classics, Drama",Joseph L. Mankiewicz,20th Century Fox
College,"Classics, Comedy, Romance",James W. Horne,United Artists
Colors,"Action & Adventure, Drama",Dennis Hopper,Orion Home Video
Coma,"Action & Adventure, Mystery & Suspense",Michael Crichton,WARNER BROTHERS PICTURES
Commando,Action & Adventure,Mark L. Lester,20th Century Fox
Convoy,"Action & Adventure, Drama",Sam Peckinpah,Lionsgate
Countdown,"Action & Adventure, Documentary, Drama, Mystery & Suspense, Science Fiction & Fantasy",Robert Altman,Unknown
The Country Girl,"Classics, Drama",George Seaton,Paramount Pictures
Cover Girl,"Classics, Comedy, Musical & Performing Arts, Romance",Charles Vidor,Sony Pictures Home Entertainment
Creature from the Black Lagoon,"Classics, Cult Movies, Horror, Science Fiction & Fantasy",Jack Arnold,Universal Pictures
Crossroads,Drama,Walter Hill,Sony Pictures Home Entertainment
Cutting Class,"Comedy, Drama, Horror",Rospo Pallenberg,FEARnet
Damn Yankees,"Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy","George Abbott, Stanley Donen",Warner Home Video
Dangerous,"Classics, Drama",Alfred E. Green,MGM Home Entertainment
Dangerous Liaisons,Drama,Stephen Frears,Warner Home Video
The Dark Mirror,"Drama, Mystery & Suspense",Robert Siodmak,Universal
Darling,"Art House & International, Classics, Comedy, Drama, Romance",John Schlesinger,Lionsgate
Day of the Dead,Horror,George A. Romero,United Film Distribution Compa
The Day the Earth Stood Still,"Classics, Drama, Science Fiction & Fantasy",Robert Wise,20th Century Fox
Days of Wine and Roses,"Classics, Drama",Blake Edwards,WARNER BROTHERS PICTURES
Dead Heat,"Action & Adventure, Comedy, Horror, Mystery & Suspense",Mark Goldblatt,LionsGate Entertainment
Dead Reckoning,"Classics, Drama, Mystery & Suspense",John Cromwell,Sony Pictures Home Entertainment
Death in Venice,Drama,Luchino Visconti,WARNER BROTHERS PICTURES
Death of a Salesman,"Drama, Television",Volker Schlöndorff,Anchor Bay Entertainment
Dèmoni (Demons),"Art House & International, Horror",Lamberto Bava,Ascot Films
The Desperate Hours,"Classics, Drama, Mystery & Suspense",William Wyler,Paramount Pictures
Devil Doll,"Classics, Horror",Tod Browning,MGM Home Entertainment
Dillinger,"Action & Adventure, Drama, Mystery & Suspense",John Milius,American International Pictures
Dinner at Eight,"Classics, Comedy, Drama, Romance",George Cukor,WARNER BROTHERS PICTURES
Distant Thunder,Drama,Rick Rosenthal,Paramount Home Video
Doctor Zhivago,"Classics, Drama, Television, Romance",David Lean,MGM
Dodge City,"Classics, Western",Michael Curtiz,WARNER BROTHERS PICTURES
Dolls,Horror,Stuart Gordon,Empire Pictures
Dr. Jekyll and Mr. Hyde,"Drama, Horror",Rouben Mamoulian,Paramount Pictures
How the Grinch Stole Christmas,"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television","Chuck Jones, Ben Washam",Warner Home Video
Dracula,"Classics, Horror",Tod Browning,Universal Pictures
Dracula,"Horror, Mystery & Suspense",Dan Curtis,MPI Home Video
Dracula,"Art House & International, Drama, Horror, Romance",John Badham,Universal Studios
Dragnet,"Action & Adventure, Comedy",Tom Mankiewicz,MCA Universal Home Video
The Dream Team,Comedy,Howard Zieff,MCA Universal Home Video
Dressed to Kill,"Drama, Horror, Mystery & Suspense",Brian DePalma,MGM
Duel,"Mystery & Suspense, Television",Steven Spielberg,Universal Pictures
Dune,Science Fiction & Fantasy,David Lynch,MCA Universal Home Video
The Eagle Has Landed,"Action & Adventure, Art House & International, Mystery & Suspense",John Sturges,Columbia Pictures
East of Eden,"Classics, Drama",Elia Kazan,Warner Bros. Pictures
Easy Money,"Action & Adventure, Comedy",James Signorelli,Vestron Video
Eaten Alive,"Horror, Mystery & Suspense",Tobe Hooper,Virgo International
Edipo re (Oedipus Rex),"Art House & International, Drama",Pier Paolo Pasolini,Water Bearer Films
The Elephant Man,Drama,David Lynch,Paramount
The Enforcer,"Action & Adventure, Drama, Mystery & Suspense","James Fargo, Allen E. Smith",Warner Bros. Pictures
The Enforcer,"Classics, Drama, Mystery & Suspense","Raoul Walsh, Bretaigne Windust",Republic Pictures Home Video
Escape from New York,"Action & Adventure, Science Fiction & Fantasy",John Carpenter,MGM Home Entertainment
Exodus,"Classics, Drama",Otto Preminger,United Artists
Eyewitness,"Horror, Mystery & Suspense",Peter Yates,Twentieth Century Fox Home Entertainment
Fahrenheit 451,"Classics, Science Fiction & Fantasy",François Truffaut,Universal Pictures
The Fan,"Drama, Mystery & Suspense",Edward Bianchi,Paramount Home Video
Fandango,"Comedy, Drama",Kevin Reynolds,Warner Home Video
Far From the Madding Crowd,"Drama, Romance",John Schlesinger,MGM Home Entertainment
"Farewell, My Lovely","Classics, Drama, Mystery & Suspense","Dick Richards, R.M. Richards",AVCO Embassy Pictures
Fatal Attraction,"Drama, Mystery & Suspense",Adrian Lyne,Paramount Pictures
Father of the Bride,"Classics, Comedy, Drama",Vincente Minnelli,MGM
Flash Gordon,"Action & Adventure, Comedy, Science Fiction & Fantasy",Mike Hodges,MCA Universal Home Video
Flashback,Comedy,Franco Amurri,Paramount
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),"Action & Adventure, Drama",Paul Verhoeven,MGM
The Flight of the Phoenix,"Action & Adventure, Classics, Drama",Robert Aldrich,20th Century Fox Film Corporation
Flipper,"Action & Adventure, Classics, Drama, Kids & Family, Television",James B. Clark,MGM Home Entertainment
The Fly,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Kurt Neumann,Fox
The Fly,"Drama, Horror, Science Fiction & Fantasy",David Cronenberg,Fox
Flying Tigers,"Action & Adventure, Classics, Drama",David Miller,Republic
Footloose,"Drama, Musical & Performing Arts, Romance",Herbert Ross,Paramount Home Video
The Four Feathers,"Action & Adventure, Art House & International, Classics",Zoltan Korda,Criterion Collection
Frantic,"Action & Adventure, Drama, Mystery & Suspense",Roman Polanski,Warner Home Video
Freaky Friday,"Comedy, Kids & Family, Science Fiction & Fantasy",Gary Nelson,Disney
Fright Night,Horror,Tom Holland,Sony Pictures Home Entertainment
From Here to Eternity,"Classics, Drama, Romance",Fred Zinnemann,NCM Fathom
Frosty the Snowman,"Animation, Kids & Family","Arthur Rankin Jr., Jules Bass",Artisan Entertainment
The Fugitive,Drama,John Ford,RKO Pictures
Fun with Dick and Jane,Comedy,Ted Kotcheff,Sony Pictures Entertainment
Funny Farm,Comedy,George Roy Hill,Warner Home Video
The Fury,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",Brian DePalma,Fox
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy","B.D. Clark, Bruce D. Clark",New World Pictures
Gallipoli,"Art House & International, Drama",Peter Weir,Paramount Home Video
The Gambler,"Classics, Drama",Karel Reisz,Paramount Pictures
Game of Death,"Action & Adventure, Art House & International",Robert Clouse,Twentieth Century Fox Home Entertainment
The General,"Comedy, Drama, Romance","Buster Keaton, Clyde Bruckman",United Artists Films
The Getaway,"Action & Adventure, Classics, Drama",Sam Peckinpah,Warner Bros. Pictures
Girls! Girls! Girls!,"Classics, Comedy, Musical & Performing Arts, Special Interest, Romance",Norman Taurog,Paramount Pictures
Gloria,"Action & Adventure, Comedy, Drama, Mystery & Suspense",John Cassavetes,Columbia Pictures Corporation
Glory,Drama,Edward Zwick,TriStar
Go West,"Classics, Comedy, Musical & Performing Arts, Western","Edward Buzzell, Edward N. Buzzell",MGM Home Entertainment
Gone in 60 Seconds,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense",H.B. Halicki,H.B. Halicki Mercantile Co.
The Goodbye Girl,"Comedy, Romance",Herbert Ross,MGM Home Entertainment
"Goodbye, Mr. Chips","Art House & International, Classics, Comedy, Drama, Romance",Sam Wood,MGM Home Entertainment
The Great Gatsby,"Classics, Drama, Romance",Jack Clayton,Paramount Pictures
The Great Race,"Action & Adventure, Classics, Comedy, Kids & Family, Romance",Blake Edwards,Warner Home Video
The Green Berets,"Action & Adventure, Classics, Drama","John Wayne, Ray Kellogg",Warner Home Video
Grizzly,"Horror, Mystery & Suspense",William Girdler,Film Ventures International (FVI)
Gulliver's Travels,"Action & Adventure, Animation, Classics, Comedy, Kids & Family",Dave Fleischer,Koch Vision
The Gunfighter,"Action & Adventure, Drama, Western",Henry King,Twentieth Century Fox
Gung Ho,Comedy,Ron Howard,Paramount Home Video
Gypsy,"Classics, Musical & Performing Arts",Mervyn LeRoy,Warner Home Video
Hairspray,"Comedy, Drama, Musical & Performing Arts",John Waters,New Line Home Entertainment
Halloween,"Horror, Mystery & Suspense",John Carpenter,Compass International Pictures
Hamlet,"Classics, Drama",Laurence Olivier,Universal
The Hand,"Drama, Horror",Oliver Stone,Warner Home Video
Hard Times,"Action & Adventure, Classics, Drama",Walter Hill,Sony Pictures Home Entertainment
Hardcore,Drama,Paul Schrader,Sony Pictures Entertainment
The Harder They Fall,"Classics, Drama, Mystery & Suspense",Mark Robson,Sony Pictures Entertainment
The Haunting,"Classics, Horror",Robert Wise,Paramount Pictures
Hawaii,"Action & Adventure, Classics, Drama",George Roy Hill,United Artists
Heat,"Action & Adventure, Drama",R.M. Richards,Paramount Pictures
Heaven,"Documentary, Special Interest",Diane Keaton,Pacific Arts Video
Heaven Can Wait,"Comedy, Science Fiction & Fantasy, Romance, Sports & Fitness","Warren Beatty, Buck Henry",Paramount Home Video
Heidi,"Action & Adventure, Classics, Drama, Kids & Family",Allan Dwan,Twentieth Century Fox Home Entertainment
The Hidden Fortress (kakushi-toride No San-akunin),"Action & Adventure, Art House & International, Classics, Drama",Akira Kurosawa,Media Home Entertainment
The Hills Have Eyes,"Horror, Mystery & Suspense",Wes Craven,Laser Media
The Hindenburg,"Action & Adventure, Drama, Mystery & Suspense","Robert Wise, John A. Bolger, Jr.",Universal Pictures
The Hit,"Action & Adventure, Comedy, Drama, Mystery & Suspense",Stephen Frears,Central Productions
A Hole in the Head,"Classics, Comedy, Drama, Musical & Performing Arts",Frank Capra,MGM
100 Bloody Acres,"Comedy, Horror","Colin Cairnes, Cameron Cairnes",Doppelganger Releasing
100 Girls,"Comedy, Romance",Michael Davis,Dream Entertainment
100 Streets,Drama,Jim O'Hanlon,Green Door Pictures
The Hound of the Baskervilles,"Classics, Drama, Horror, Mystery & Suspense",Sidney Lanfield,20th Century Fox
The Hound of the Baskervilles,"Art House & International, Classics, Mystery & Suspense",Terence Fisher,United Artists
House of Wax,"Drama, Horror, Mystery & Suspense",André De Toth,Warner Bros. Pictures
House On Haunted Hill,"Classics, Drama, Horror",William Castle,Allied Artists
Hud,"Classics, Drama",Martin Ritt,Paramount Pictures
The Human Factor,"Art House & International, Drama, Mystery & Suspense",Edward Dmytryk,Live Home Video
The Hunchback of Notre Dame,"Classics, Drama, Horror, Special Interest","Wallace Worsley, Wallace Worsley Sr.",Gravitas
The Hunchback of Notre Dame,"Classics, Drama, Romance",William Dieterle,Sony Pictures Entertainment
The Hunter,"Action & Adventure, Drama, Mystery & Suspense, Television",Buzz Kulik,Paramount Home Video
Hustle,"Action & Adventure, Classics, Drama, Mystery & Suspense",Robert Aldrich,Paramount Pictures
"I, the Jury","Action & Adventure, Drama, Mystery & Suspense",Richard T. Heffron,Fox
Imitation of Life,"Classics, Drama",Douglas Sirk,Universal Studios
The Importance of Being Earnest,"Classics, Comedy",Anthony Asquith,General Film Distributors
Impulse,"Action & Adventure, Drama, Mystery & Suspense",Sondra Locke,Warner Home Video
In Cold Blood,Drama,Richard Brooks,Columbia Pictures
The Incubus,"Horror, Mystery & Suspense",John Hough,Film Ventures International
Indiscreet,"Classics, Comedy, Romance",Stanley Donen,Warner Bros.
The Informer,"Classics, Drama",John Ford,Media Home Entertainment
Inherit the Wind,"Classics, Drama, Faith & Spirituality",Stanley Kramer,MGM Home Entertainment
Intolerance,Classics,D.W. Griffith,Cohen Media Group
Invaders from Mars,"Classics, Science Fiction & Fantasy",William Cameron Menzies,20th Century Fox Film Corporation
Invaders from Mars,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Tobe Hooper,Media Home Entertainment
Invasion of the Body Snatchers,"Classics, Mystery & Suspense, Science Fiction & Fantasy",Don Siegel,Republic Pictures Home Video
Invasion of the Body Snatchers,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Philip Kaufman,MGM Home Entertainment
The Invisible Man,"Classics, Comedy, Horror, Science Fiction & Fantasy",James Whale,Realart Pictures Inc.
The Island,"Drama, Horror, Mystery & Suspense",Michael Ritchie,Universal Pictures
The Island of Dr. Moreau,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Don Taylor,MGM
Islands in the Stream,Drama,Franklin J. Schaffner,Paramount Pictures
It,"Classics, Comedy, Drama, Romance","Clarence Badger, Josef von Sternberg, Clarence G. Badger",Critics' Choice Video
It's Alive,"Classics, Drama, Horror, Mystery & Suspense",Larry Cohen,Warner Home Video
Ivanhoe,"Action & Adventure, Art House & International, Classics, Drama, Romance",Richard Thorpe,MGM Home Entertainment
Jack and the Beanstalk,"Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Jean Yarbrough,VCI
Jack Frost,"Animation, Kids & Family, Musical & Performing Arts, Television","Jules Bass, Arthur Rankin Jr.",WARNER BROTHERS PICTURES
Jamaica Inn,"Action & Adventure, Art House & International, Classics, Mystery & Suspense",Alfred Hitchcock,Paramount Pictures
