,guessWord,genreHint,directorsHint,studioHint,sentenceInfo
288,The Lottery,"Documentary, Special Interest",Madeleine Sackler,Variance Films,3_7
289,Assault on Precinct 13,"Action & Adventure, Drama, Mystery & Suspense",John Carpenter,Turtle Releasing,7_2_8_2
290,Asylum,"Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance",Roy Ward Baker,Cinerama Releasing Corporation,6
291,Attack of the 50 Foot Woman,"Classics, Science Fiction & Fantasy",Nathan Juran,Allied Artists Pictures,6_2_3_2_4_5
292,Avenging Angel,"Action & Adventure, Drama, Mystery & Suspense",Robert Vincent O'Neil,Starmaker Entertainment,8_5
293,The Awakening,"Horror, Mystery & Suspense",Mike Newell,WARNER BROTHERS PICTURES,3_9
294,Babes in Toyland,"Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Jack Donohue,Buena Vista,5_2_7
295,Bad Company,"Action & Adventure, Drama, Western",Robert Benton,Paramount Pictures,3_7
296,The Bad News Bears,"Classics, Comedy",Michael Ritchie,Paramount Pictures,3_3_4_5
297,The Bad Seed,"Classics, Drama, Horror, Mystery & Suspense",Mervyn LeRoy,WARNER BROTHERS PICTURES,3_3_4
298,Bang The Drum Slowly,"Classics, Comedy, Drama, Sports & Fitness","John D. Hancock, John Hancock",Paramount Pictures,4_3_4_6
299,Battleground,"Action & Adventure, Classics, Drama",William Wellman,MGM,12
300,Beauty and The Beast (La Belle et la b�te),"Drama, Science Fiction & Fantasy, Romance",Jean Cocteau,Lopert Pictures,6_3_3_5_3_5_2_2_5
301,1001 Grams,Drama,Bent Hamer,Kino Lorber,4_5
302,The Best of Times,"Comedy, Drama",Roger Spottiswoode,Sultan Entertainment,3_4_2_5
303,Betrayed,"Action & Adventure, Drama, Mystery & Suspense","Betsy Blair, Debra Winger, John Heard, John Mahoney, Ted Levine, Tom Berenger, Costa-Gavras",MGM Home Entertainment,8
304,The Big Brawl (Battle Creek Brawl),"Action & Adventure, Comedy",Robert Clouse,Golden Harvest Company,3_3_5_7_5_6
305,Big Business,Comedy,Jim Abrahams,,3_8
306,The Big Heat,"Classics, Drama, Mystery & Suspense",Fritz Lang,Columbia Pictures,3_3_4
307,The Big Sleep,"Classics, Drama, Mystery & Suspense",Howard Hawks,Warner Bros. Pictures,3_3_5
308,The Big Sleep,"Art House & International, Drama, Mystery & Suspense",Michael Winner,United Artists,3_3_5
309,Billy Budd,"Action & Adventure, Classics, Drama",Peter Ustinov,Allied Artists Pictures,5_4
310,The Birds,"Classics, Horror, Mystery & Suspense",Alfred Hitchcock,Universal Pictures,3_5
311,Black Christmas,"Horror, Mystery & Suspense",Bob Clark,Warner Bros. Pictures,5_9
312,The Black Hole,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Gary Nelson,Walt Disney Productions,3_5_4
313,The Black Pirate,"Action & Adventure, Classics",Albert Parker,United Artists,3_5_6
314,Black Rain,"Action & Adventure, Drama, Mystery & Suspense",Ridley Scott,Paramount Home Video,5_4
315,Black Sunday,"Action & Adventure, Drama, Horror, Mystery & Suspense",John Frankenheimer,Anchor Bay Entertainment,5_6
316,Black Widow,"Drama, Mystery & Suspense",Bob Rafelson,Twentieth Century Fox Home Entertainment,5_5
317,Blackmail,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,Scott Entertainment,9
318,Blind Date,"Comedy, Drama",Blake Edwards,Sony Pictures Home Entertainment,5_4
319,Blood and Sand,"Classics, Drama, Romance",Rouben Mamoulian,20th Century Fox,5_3_4
320,Blood Feast,"Classics, Horror",Herschell Gordon Lewis,Box Office Spectaculars,5_5
321,Der Blaue Engel (The Blue Angel),"Art House & International, Classics, Drama, Musical & Performing Arts",Josef von Sternberg,Universum Film Gmbh,3_5_5_4_4_6
322,Bluebeard,"Classics, Drama, Horror, Mystery & Suspense",Edgar G. Ulmer,PRC Pictures Inc.,9
323,The Border,"Action & Adventure, Drama, Mystery & Suspense",Tony Richardson,Universal Pictures,3_6
324,Born Yesterday,"Classics, Comedy, Drama",George Cukor,Columbia Pictures,4_9
325,The Boston Strangler,"Classics, Drama, Mystery & Suspense",Richard Fleischer,20th Century Fox Film Corp.,3_6_9
326,The Bounty,"Action & Adventure, Drama",Roger Donaldson,MGM,3_6
327,The Boys from Brazil,"Action & Adventure, Drama, Mystery & Suspense",Franklin J. Schaffner,20th Century Fox Film Corporation,3_4_4_6
328,Brainstorm,"Mystery & Suspense, Science Fiction & Fantasy",Douglas Trumbull,MGM Home Entertainment,10
329,Breakout,Action & Adventure,Tom Gries,Sony Pictures Entertainment,8
330,Brewster's Millions,Comedy,Walter Hill,MCA Universal Home Video,10_8
331,Brian's Song,"Classics, Drama, Television",Buzz Kulik,Sony Pictures Home Entertainment,7_4
332,Brief Encounter,"Classics, Drama, Romance",David Lean,Universal Pictures,5_9
333,Broken Arrow,"Action & Adventure, Classics, Drama, Western, Romance",Delmer Daves,Twentieth Century Fox Home Entertainment,6_5
334,Broken Blossoms,"Classics, Drama, Romance",D.W. Griffith,Kino on Video,6_8
335,The Brotherhood,"Action & Adventure, Classics, Drama",Martin Ritt,Paramount Pictures,3_11
336,Bug,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Jeannot Szwarc,Paramount Pictures,3
337,Burglar,"Comedy, Drama",Hugh Wilson,Warner Home Video,7
338,Bus Stop,"Comedy, Drama, Romance",Joshua Logan,20th Century Fox Film Corporation,3_4
339,Butch Cassidy and the Sundance Kid,"Action & Adventure, Classics, Western",George Roy Hill,20th Century Fox,5_7_3_3_8_3
340,Bye Bye Birdie,"Classics, Comedy, Kids & Family, Musical & Performing Arts",George Sidney,Columbia Pictures,3_3_6
341,Calamity Jane,"Classics, Comedy, Musical & Performing Arts, Western, Romance",David Butler,WARNER BROTHERS PICTURES,8_4
342,Camelot,"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance","Joshua Logan, Moss Hart",Warner Home Video,7
343,Camille,"Classics, Drama, Romance",George Cukor,MGM Home Entertainment,7
344,Cape Fear,"Classics, Drama, Mystery & Suspense",J. Lee Thompson,Universal International Pictur,4_4
345,Captain Blood,"Action & Adventure, Classics",Michael Curtiz,Twentieth Century Fox Home Entertainment,7_5
346,Captains Courageous,"Action & Adventure, Classics",Victor Fleming,MGM Home Entertainment,8_10
347,Carnival of Souls,"Classics, Comedy, Horror, Mystery & Suspense",Herk Harvey,Herts-Lion International Corp.,8_2_5
348,Carrie,Horror,Brian DePalma,United Artists,6
349,Casablanca,"Classics, Drama, Romance",Michael Curtiz,Warner Bros. Pictures,10
350,Casino Royale,"Action & Adventure, Classics, Comedy","Richard Talmadge, Kenneth Hughes, John Huston, Joseph McGrath, Robert Parrish, Val Guest, Ken Hughes",Columbia Pictures,6_6
351,The Cat and the Canary,"Classics, Horror, Mystery & Suspense",Paul Leni,Universal Pictures,3_3_3_3_6
352,Cat on a Hot Tin Roof,"Classics, Drama",Richard Brooks,MGM Home Entertainment,3_2_1_3_3_4
353,Cat People,"Drama, Horror, Romance",Jacques Tourneur,RKO Pictures,3_6
354,Cat People,"Drama, Horror, Mystery & Suspense",Paul Schrader,Universal Pictures,3_6
355,Caught,"Classics, Drama, Mystery & Suspense",Max Oph�ls,MGM,6
356,The Champ,"Drama, Sports & Fitness",Franco Zeffirelli,MGM Home Entertainment,3_5
357,Champion,"Classics, Drama",Mark Robson,United Artists,8
358,Charade,"Classics, Comedy, Drama, Mystery & Suspense",Stanley Donen,Madacy Entertainment,7
359,Charlotte's Web,"Animation, Kids & Family","Charles A. Nichols, Iwao Takamoto",Paramount Pictures,11_3
360,The Chase,"Classics, Drama",Arthur Penn,Columbia Pictures,3_5
361,Checking Out,Comedy,David Leland,HandMade Films,8_3
362,Children of the Corn,"Cult Movies, Horror, Mystery & Suspense",Fritz Kiersch,New World Pictures,8_2_3_4
363,The Chosen,Drama,Jeremy Kagan,Westchester Films,3_6
364,A Christmas Carol,"Classics, Drama, Kids & Family, Science Fiction & Fantasy",Edwin L. Marin,MGM,1_9_5
365,Christmas in Connecticut,"Classics, Comedy",Peter Godfrey,Warner Bros. Pictures,9_2_11
366,A Christmas Story,"Comedy, Drama, Kids & Family",Bob Clark,MGM,1_9_5
367,Cimarron,"Classics, Drama, Western",Wesley Ruggles,MGM Home Entertainment,8
368,Cleopatra,"Classics, Drama",Joseph L. Mankiewicz,20th Century Fox,9
369,College,"Classics, Comedy, Romance",James W. Horne,United Artists,7
370,Colors,"Action & Adventure, Drama",Dennis Hopper,Orion Home Video,6
371,Coma,"Action & Adventure, Mystery & Suspense",Michael Crichton,WARNER BROTHERS PICTURES,4
372,Commando,Action & Adventure,Mark L. Lester,20th Century Fox,8
373,Convoy,"Action & Adventure, Drama",Sam Peckinpah,Lionsgate,6
374,Countdown,"Action & Adventure, Documentary, Drama, Mystery & Suspense, Science Fiction & Fantasy",Robert Altman,Unknown,9
375,The Country Girl,"Classics, Drama",George Seaton,Paramount Pictures,3_7_4
376,Cover Girl,"Classics, Comedy, Musical & Performing Arts, Romance",Charles Vidor,Sony Pictures Home Entertainment,5_4
377,Creature from the Black Lagoon,"Classics, Cult Movies, Horror, Science Fiction & Fantasy",Jack Arnold,Universal Pictures,8_4_3_5_6
378,Crossroads,Drama,Walter Hill,Sony Pictures Home Entertainment,10
379,Cutting Class,"Comedy, Drama, Horror",Rospo Pallenberg,FEARnet,7_5
380,Damn Yankees,"Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy","George Abbott, Stanley Donen",Warner Home Video,4_7
381,Dangerous,"Classics, Drama",Alfred E. Green,MGM Home Entertainment,9
382,Dangerous Liaisons,Drama,Stephen Frears,Warner Home Video,9_8
383,The Dark Mirror,"Drama, Mystery & Suspense",Robert Siodmak,Universal,3_4_6
384,Darling,"Art House & International, Classics, Comedy, Drama, Romance",John Schlesinger,Lionsgate,7
385,Day of the Dead,Horror,George A. Romero,United Film Distribution Compa,3_2_3_4
386,The Day the Earth Stood Still,"Classics, Drama, Science Fiction & Fantasy",Robert Wise,20th Century Fox,3_3_3_5_5_5
387,Days of Wine and Roses,"Classics, Drama",Blake Edwards,WARNER BROTHERS PICTURES,4_2_4_3_5
388,Dead Heat,"Action & Adventure, Comedy, Horror, Mystery & Suspense",Mark Goldblatt,LionsGate Entertainment,4_4
389,Dead Reckoning,"Classics, Drama, Mystery & Suspense",John Cromwell,Sony Pictures Home Entertainment,4_9
390,Death in Venice,Drama,Luchino Visconti,WARNER BROTHERS PICTURES,5_2_6
391,Death of a Salesman,"Drama, Television",Volker Schl�ndorff,Anchor Bay Entertainment,5_2_1_8
392,D�moni (Demons),"Art House & International, Horror",Lamberto Bava,Ascot Films,6_8
393,The Desperate Hours,"Classics, Drama, Mystery & Suspense",William Wyler,Paramount Pictures,3_9_5
394,Devil Doll,"Classics, Horror",Tod Browning,MGM Home Entertainment,5_4
395,Dillinger,"Action & Adventure, Drama, Mystery & Suspense",John Milius,American International Pictures,9
396,Dinner at Eight,"Classics, Comedy, Drama, Romance",George Cukor,WARNER BROTHERS PICTURES,6_2_5
397,Distant Thunder,Drama,Rick Rosenthal,Paramount Home Video,7_7
398,Doctor Zhivago,"Classics, Drama, Television, Romance",David Lean,MGM,6_7
399,Dodge City,"Classics, Western",Michael Curtiz,WARNER BROTHERS PICTURES,5_4
400,Dolls,Horror,Stuart Gordon,Empire Pictures,5
401,Dr. Jekyll and Mr. Hyde,"Drama, Horror",Rouben Mamoulian,Paramount Pictures,3_6_3_3_4
402,How the Grinch Stole Christmas,"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television","Chuck Jones, Ben Washam",Warner Home Video,3_3_6_5_9
403,Dracula,"Classics, Horror",Tod Browning,Universal Pictures,7
404,Dracula,"Horror, Mystery & Suspense",Dan Curtis,MPI Home Video,7
405,Dracula,"Art House & International, Drama, Horror, Romance",John Badham,Universal Studios,7
406,Dragnet,"Action & Adventure, Comedy",Tom Mankiewicz,MCA Universal Home Video,7
407,The Dream Team,Comedy,Howard Zieff,MCA Universal Home Video,3_5_4
408,Dressed to Kill,"Drama, Horror, Mystery & Suspense",Brian DePalma,MGM,7_2_4
409,Duel,"Mystery & Suspense, Television",Steven Spielberg,Universal Pictures,4
410,Dune,Science Fiction & Fantasy,David Lynch,MCA Universal Home Video,4
411,The Eagle Has Landed,"Action & Adventure, Art House & International, Mystery & Suspense",John Sturges,Columbia Pictures,3_5_3_6
412,East of Eden,"Classics, Drama",Elia Kazan,Warner Bros. Pictures,4_2_4
413,Easy Money,"Action & Adventure, Comedy",James Signorelli,Vestron Video,4_5
414,Eaten Alive,"Horror, Mystery & Suspense",Tobe Hooper,Virgo International,5_5
415,Edipo re (Oedipus Rex),"Art House & International, Drama",Pier Paolo Pasolini,Water Bearer Films,5_2_8_4
416,The Elephant Man,Drama,David Lynch,Paramount,3_8_3
417,The Enforcer,"Action & Adventure, Drama, Mystery & Suspense","James Fargo, Allen E. Smith",Warner Bros. Pictures,3_8
418,The Enforcer,"Classics, Drama, Mystery & Suspense","Raoul Walsh, Bretaigne Windust",Republic Pictures Home Video,3_8
419,Escape from New York,"Action & Adventure, Science Fiction & Fantasy",John Carpenter,MGM Home Entertainment,6_4_3_4
420,Exodus,"Classics, Drama",Otto Preminger,United Artists,6
421,Eyewitness,"Horror, Mystery & Suspense",Peter Yates,Twentieth Century Fox Home Entertainment,10
422,Fahrenheit 451,"Classics, Science Fiction & Fantasy",Fran�ois Truffaut,Universal Pictures,10_3
423,The Fan,"Drama, Mystery & Suspense",Edward Bianchi,Paramount Home Video,3_3
424,Fandango,"Comedy, Drama",Kevin Reynolds,Warner Home Video,8
425,Far From the Madding Crowd,"Drama, Romance",John Schlesinger,MGM Home Entertainment,3_4_3_7_5
426,"Farewell, My Lovely","Classics, Drama, Mystery & Suspense","Dick Richards, R.M. Richards",AVCO Embassy Pictures,9_2_6
427,Fatal Attraction,"Drama, Mystery & Suspense",Adrian Lyne,Paramount Pictures,5_10
428,Father of the Bride,"Classics, Comedy, Drama",Vincente Minnelli,MGM,6_2_3_5
429,Flash Gordon,"Action & Adventure, Comedy, Science Fiction & Fantasy",Mike Hodges,MCA Universal Home Video,5_6
430,Flashback,Comedy,Franco Amurri,Paramount,9
431,Flesh & Blood (Flesh+Blood) (The Rose and the Sword),"Action & Adventure, Drama",Paul Verhoeven,MGM,5_1_5_13_4_4_3_3_6
432,The Flight of the Phoenix,"Action & Adventure, Classics, Drama",Robert Aldrich,20th Century Fox Film Corporation,3_6_2_3_7
433,Flipper,"Action & Adventure, Classics, Drama, Kids & Family, Television",James B. Clark,MGM Home Entertainment,7
434,The Fly,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Kurt Neumann,Fox,3_3
435,The Fly,"Drama, Horror, Science Fiction & Fantasy",David Cronenberg,Fox,3_3
436,Flying Tigers,"Action & Adventure, Classics, Drama",David Miller,Republic,6_6
437,Footloose,"Drama, Musical & Performing Arts, Romance",Herbert Ross,Paramount Home Video,9
438,The Four Feathers,"Action & Adventure, Art House & International, Classics",Zoltan Korda,Criterion Collection,3_4_8
439,Frantic,"Action & Adventure, Drama, Mystery & Suspense",Roman Polanski,Warner Home Video,7
440,Freaky Friday,"Comedy, Kids & Family, Science Fiction & Fantasy",Gary Nelson,Disney,6_6
441,Fright Night,Horror,Tom Holland,Sony Pictures Home Entertainment,6_5
442,From Here to Eternity,"Classics, Drama, Romance",Fred Zinnemann,NCM Fathom,4_4_2_8
443,Frosty the Snowman,"Animation, Kids & Family","Arthur Rankin Jr., Jules Bass",Artisan Entertainment,6_3_7
444,The Fugitive,Drama,John Ford,RKO Pictures,3_8
445,Fun with Dick and Jane,Comedy,Ted Kotcheff,Sony Pictures Entertainment,3_4_4_3_4
446,Funny Farm,Comedy,George Roy Hill,Warner Home Video,5_4
447,The Fury,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",Brian DePalma,Fox,3_4
448,Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy","B.D. Clark, Bruce D. Clark",New World Pictures,6_2_6_10_2_8_2_7_7_2_8_7
449,Gallipoli,"Art House & International, Drama",Peter Weir,Paramount Home Video,9
450,The Gambler,"Classics, Drama",Karel Reisz,Paramount Pictures,3_7
451,Game of Death,"Action & Adventure, Art House & International",Robert Clouse,Twentieth Century Fox Home Entertainment,4_2_5
452,The General,"Comedy, Drama, Romance","Buster Keaton, Clyde Bruckman",United Artists Films,3_7
453,The Getaway,"Action & Adventure, Classics, Drama",Sam Peckinpah,Warner Bros. Pictures,3_7
454,Girls! Girls! Girls!,"Classics, Comedy, Musical & Performing Arts, Special Interest, Romance",Norman Taurog,Paramount Pictures,6_6_6
455,Gloria,"Action & Adventure, Comedy, Drama, Mystery & Suspense",John Cassavetes,Columbia Pictures Corporation,6
456,Glory,Drama,Edward Zwick,TriStar,5
457,Go West,"Classics, Comedy, Musical & Performing Arts, Western","Edward Buzzell, Edward N. Buzzell",MGM Home Entertainment,2_4
458,Gone in 60 Seconds,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense",H.B. Halicki,H.B. Halicki Mercantile Co.,4_2_2_7
459,The Goodbye Girl,"Comedy, Romance",Herbert Ross,MGM Home Entertainment,3_7_4
460,"Goodbye, Mr. Chips","Art House & International, Classics, Comedy, Drama, Romance",Sam Wood,MGM Home Entertainment,8_3_5
461,The Great Gatsby,"Classics, Drama, Romance",Jack Clayton,Paramount Pictures,3_5_6
462,The Great Race,"Action & Adventure, Classics, Comedy, Kids & Family, Romance",Blake Edwards,Warner Home Video,3_5_4
463,The Green Berets,"Action & Adventure, Classics, Drama","John Wayne, Ray Kellogg",Warner Home Video,3_5_6
464,Grizzly,"Horror, Mystery & Suspense",William Girdler,Film Ventures International (FVI),7
465,Gulliver's Travels,"Action & Adventure, Animation, Classics, Comedy, Kids & Family",Dave Fleischer,Koch Vision,10_7
466,The Gunfighter,"Action & Adventure, Drama, Western",Henry King,Twentieth Century Fox,3_10
467,Gung Ho,Comedy,Ron Howard,Paramount Home Video,4_2
468,Gypsy,"Classics, Musical & Performing Arts",Mervyn LeRoy,Warner Home Video,5
469,Hairspray,"Comedy, Drama, Musical & Performing Arts",John Waters,New Line Home Entertainment,9
470,Halloween,"Horror, Mystery & Suspense",John Carpenter,Compass International Pictures,9
471,Hamlet,"Classics, Drama",Laurence Olivier,Universal,6
472,The Hand,"Drama, Horror",Oliver Stone,Warner Home Video,3_4
473,Hard Times,"Action & Adventure, Classics, Drama",Walter Hill,Sony Pictures Home Entertainment,4_5
474,Hardcore,Drama,Paul Schrader,Sony Pictures Entertainment,8
475,The Harder They Fall,"Classics, Drama, Mystery & Suspense",Mark Robson,Sony Pictures Entertainment,3_6_4_4
476,The Haunting,"Classics, Horror",Robert Wise,Paramount Pictures,3_8
477,Hawaii,"Action & Adventure, Classics, Drama",George Roy Hill,United Artists,6
478,Heat,"Action & Adventure, Drama",R.M. Richards,Paramount Pictures,4
479,Heaven,"Documentary, Special Interest",Diane Keaton,Pacific Arts Video,6
480,Heaven Can Wait,"Comedy, Science Fiction & Fantasy, Romance, Sports & Fitness","Warren Beatty, Buck Henry",Paramount Home Video,6_3_4
481,Heidi,"Action & Adventure, Classics, Drama, Kids & Family",Allan Dwan,Twentieth Century Fox Home Entertainment,5
482,The Hidden Fortress (kakushi-toride No San-akunin),"Action & Adventure, Art House & International, Classics, Drama",Akira Kurosawa,Media Home Entertainment,3_6_8_15_2_11
483,The Hills Have Eyes,"Horror, Mystery & Suspense",Wes Craven,Laser Media,3_5_4_4
484,The Hindenburg,"Action & Adventure, Drama, Mystery & Suspense","Robert Wise, John A. Bolger, Jr.",Universal Pictures,3_10
485,The Hit,"Action & Adventure, Comedy, Drama, Mystery & Suspense",Stephen Frears,Central Productions,3_3
486,A Hole in the Head,"Classics, Comedy, Drama, Musical & Performing Arts",Frank Capra,MGM,1_4_2_3_4
487,100 Bloody Acres,"Comedy, Horror","Colin Cairnes, Cameron Cairnes",Doppelganger Releasing,3_6_5
488,100 Girls,"Comedy, Romance",Michael Davis,Dream Entertainment,3_5
